Target,Weather Balloon Data File,Year,Month,Day,Hour,Minute,Second,Observer Lat,Observer Lon,Observer Alt,Target Lat,Target Lon,Target Alt,RA,Dec,Apparent Alt,Apparent Az
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,2,21,19,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,346.0225,-14.11477778,,
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,2,52,44,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,353.8620833,-14.08666667,,
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,2,58,27,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,355.2675,-14.08594444,,
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,3,8,28,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,357.95875,-14.26452778,,
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,3,10,51,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,358.44375,-14.11408333,,
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,3,45,31,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,7.115,-14.11202778,,
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,1,27,25,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,333.4545833,-14.06683333,,
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,2,13,47,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,345.0875,-14.11341667,,
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,2,15,57,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,345.6929167,-14.13361111,,
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,2,54,23,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,355.2675,-14.08594444,,
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,3,4,33,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,357.95875,-14.26452778,,
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,3,6,57,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,358.44375,-14.11408333,,
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,2,6,56,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870,340.8595833,-4.968083333,,
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,2,20,24,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870,344.12875,-4.851138889,,
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,3,52,0,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870,7.09875,-4.861666667,,
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,4,15,52,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870,13.12125,-4.900138889,,
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,4,28,20,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870,16.08333333,-4.699083333,,
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,4,39,0,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870,18.94333333,-4.912083333,,
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,2,1,14,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,33.50125,-30.60891667,,
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,2,28,42,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,40.27708333,-30.52913889,,
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,2,39,43,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,43.25208333,-30.70566667,,
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,3,22,11,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,53.7325,-30.5395,,
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,3,38,29,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,57.89625,-30.61011111,,
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,3,49,34,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,60.42,-30.41605556,,
Mount Rosa,031125UTweatherballoondataGrandJunction.csv,2025,3,11,2,51,26,38.9997,-104.49723,2075.08,38.754167,-104.948056,3506,41.80958333,-25.23169444,,
Mount Rosa,031125UTweatherballoondataGrandJunction.csv,2025,3,11,3,0,52,38.9997,-104.49723,2075.08,38.754167,-104.948056,3506,44.1475,-25.20572222,,
Blue Mountain,031325UTweatherballoondataGrandJunction.csv,2025,3,13,4,32,54,38.9997,-104.49723,2075.08,38.693889,-104.915833,3000.8,75.8325,-31.73805556,,
Blue Mountain,031325UTweatherballoondataGrandJunction.csv,2025,3,13,4,34,43,38.9997,-104.49723,2075.08,38.693889,-104.915833,3000.8,75.77041667,-31.31641667,,
Blue Mountain,031325UTweatherballoondataGrandJunction.csv,2025,3,13,5,28,21,38.9997,-104.49723,2075.08,38.693889,-104.915833,3000.8,89.32458333,-31.3825,,
Green Mountain,031525UTweatherballoondataGrandJunction.csv,2025,3,15,4,2,58,38.9997,-104.49723,2075.08,38.696111,-104.963333,3084.9,67.11041667,-29.14277778,,
Green Mountain,031525UTweatherballoondataGrandJunction.csv,2025,3,15,5,29,28,38.9997,-104.49723,2075.08,38.696111,-104.963333,3084.9,88.80291667,-29.14616667,,
Green Mountain,031525UTweatherballoondataGrandJunction.csv,2025,3,15,5,33,45,38.9997,-104.49723,2075.08,38.696111,-104.963333,3084.9,89.80583333,-29.11091667,,
North Peak,032425UTweatherballoondataGrandJunction.csv,2025,3,24,4,8,21,38.9997,-104.49723,2072.18,37.901389,-105.032222,3765,108.3133333,-46.80138889,,
North Peak,032425UTweatherballoondataGrandJunction.csv,2025,3,24,4,9,11,38.9997,-104.49723,2072.18,37.901389,-105.032222,3765,108.86625,-46.89388889,,
North Peak,032425UTweatherballoondataGrandJunction.csv,2025,3,24,4,11,40,38.9997,-104.49723,2072.18,37.901389,-105.032222,3765,109.24,-46.81947222,,
