Target,Weather Balloon Data File,Year,Month,Day,Hour,Minute,Second,Observer Lat,Observer Lon,Observer Alt,Target Lat,Target Lon,Target Alt,RA,Dec,Apparent Alt,Apparent Az,Star Name,Star RA (Equinox of Date corrected for proper motion/aberration/nutation),Star Dec (Equinox of Date corrected for proper motion/aberration/nutation),Star Geometric Alt From Observer Location,Star Geometric Az From Observer Location,Star Geometric Alt From Target Location,Star Geometric Az From Target Location,Target Surface Distance,Target Altitude - Observer Altitude,Flat Earth Rise/Run Angle,Target Refraction,Target Apparent Elevation Globe Prediction With Refraction,Star Refraction,Star Alt With Refraction Subtracted,Globe Error (Degrees),Celestial Theodolite Error (Degrees),Flat Earth Rise/Run Error (Degrees),Globe Occultation Time Error (Seconds),Celestial Theodolite Occultation Time Error (Seconds),Globe Target Height Error (meters),Flat Earth Target Height Error (meters),Winner
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,4,15,52,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870.0,13.12125,-4.900138889,,,HIP 3979,13.113503346713564,-4.905270499822871,0.8716452516098904,262.9715963574231,1.1929631167986563,262.71370860926584,35.81,794.9200000000001,1.2715099951864717,0.0177283538505435,1.128084254234065,0.2906379600899973,0.8374462941440677,0.03419895746582269,-0.07854687838781538,,10.612,-24.374,21.396798075784133,49.09774483917113,Globe Wins!
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,4,28,20,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870.0,16.08333333,-4.699083333,,,HIP 4914,16.07597776121113,-4.704151481768803,0.8733849690224911,263.22996657364206,1.1946960386104317,262.97210500307796,35.81,794.9200000000001,1.2715099951864717,0.0177283538505435,1.128084254234065,0.2906379600899973,0.8374462941440677,0.03593867487842339,-0.07681395657603995,,11.146,-23.822,22.485246699079838,48.01453621539774,Globe Wins!
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,4,39,0,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870.0,18.94333333,-4.912083333,,,HIP 5806,18.93679407973705,-4.917175819736592,0.8827143734111383,262.94716307812456,1.2040325430443832,262.68927298553734,35.81,794.9200000000001,1.2715099951864717,0.0177283538505435,1.128084254234065,0.2906379600899973,0.8374462941440677,0.04526807926707066,-0.06747745214208845,,14.048,-20.94,28.32213122830143,42.178508578734714,Globe Wins!
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,2,1,14,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,33.50125,-30.60891667,,,HIP 10320,33.50131270615978,-30.608873358478675,0.618376982319818,228.3973477602984,1.0010419364753693,228.16795817378124,42.58,808.02,1.0872145430828826,0.024698230903595353,0.9201567461676161,0.3249211363074508,0.5952356098601653,0.023141372459652643,-0.08617260660751325,,9.531,-35.49,17.210527866972505,64.03601316114572,Globe Wins!
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,2,28,42,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,40.27708333,-30.52913889,,,HIP 12435,40.27716958141777,-30.529095534435427,0.6134381058784568,228.52083359304527,0.9960988127140539,228.2914554574846,42.58,808.02,1.0872145430828826,0.024698230903595353,0.9201567461676161,0.3249211363074508,0.5952356098601653,0.018202496018291492,-0.0911157303688287,,7.482,-37.453,13.537449496971984,67.70932037438594,Globe Wins!
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,2,39,43,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,43.25208333,-30.70566667,,,HIP 13363,43.248750569459446,-30.713594001940887,0.5993048478794168,228.26302302910312,0.9819724036248447,228.03362054272733,42.58,808.02,1.0872145430828826,0.024698230903595353,0.9201567461676161,0.3249211363074508,0.5952356098601653,0.00406923801925152,-0.10524213945803784,,1.679,-43.434,3.0263654793686117,78.20686631856182,Globe Wins!
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,3,22,11,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,53.7325,-30.5395,,,HIP 16624,53.731022927808446,-30.546972801844316,0.6272748258206208,228.47928520804035,1.0099371601460347,228.24990368307908,42.58,808.02,1.0872145430828826,0.024698230903595353,0.9201567461676161,0.3249211363074508,0.5952356098601653,0.03203921596045545,-0.07727738293684783,,13.179,-31.785,23.827883892735883,57.425845347672585,Globe Wins!
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,3,38,29,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,57.89625,-30.61011111,,,HIP 17976,57.89581942759162,-30.617402227529364,0.6210575494168804,228.38178563585925,1.0037229127059402,228.1523946484,42.58,808.02,1.0872145430828826,0.024698230903595353,0.9201567461676161,0.3249211363074508,0.5952356098601653,0.02582193955671508,-0.0834916303769424,,10.637,-34.394,19.204079323316307,62.04374110532296,Globe Wins!
Cheyenne Mountain,031025UTweatherballoondataGrandJunction.csv,2025,3,10,3,49,34,38.9997,-104.49723,2075.08,38.743889,-104.862778,2883.1,60.42,-30.41605556,,,HIP 18723,60.419920718158735,-30.423221679801077,0.6160669360257937,228.67451097837818,0.9987198744086252,228.4451474167525,42.58,808.02,1.0872145430828826,0.024698230903595353,0.9201567461676161,0.3249211363074508,0.5952356098601653,0.020831326165628328,-0.08849466867425737,,8.543,-36.289,15.492531348515609,65.76157115804742,Globe Wins!
Mount Rosa,031125UTweatherballoondataGrandJunction.csv,2025,3,11,2,51,26,38.9997,-104.49723,2075.08,38.754167,-104.948056,3506.0,41.80958333,-25.23169444,,,HIP 12920,41.810041390698075,-25.23210610944284,1.2829052446378761,235.47277542261182,1.711224787557047,235.18987315951063,47.68,1430.92,1.718972804034917,0.027359869796782732,1.5314154308912467,0.26500222754842184,1.2664132033428248,0.01649204129505133,-0.0077480164778700455,,6.165,-2.896,13.744138942215487,6.44772573373322,Celestial Theodolite Wins!
